DATE TIME; v1_pre; v2_pre; v3_pre; ORIENT; SP
2019-07-05 04:21:00; 14509.324; 2727.796; 50387.656; XYZ; 0000
2019-07-05 04:22:00; 14509.189; 2727.241; 50387.527; XYZ; 0000
2019-07-05 04:23:00; 14508.928; 2725.978; 50387.688; XYZ; 0000
2019-07-05 04:24:00; 14508.792; 2724.45; 50387.535; XYZ; 0000
2019-07-05 04:25:00; 14508.788; 2723.221; 50387.414; XYZ; 0000
2019-07-05 04:26:00; 14509.377; 2722.428; 50387.918; XYZ; 0000
2019-07-05 04:27:00; 14509.202; 2722.943; 50387.926; XYZ; 0000
2019-07-05 04:28:00; 14509.086; 2723.809; 50388.08; XYZ; 0000
2019-07-05 04:29:00; 14509.151; 2723.773; 50387.836; XYZ; 0000
2019-07-05 04:30:00; 14509.241; 2722.547; 50387.65; XYZ; 0000
2019-07-05 04:31:00; 14509.262; 2721.522; 50387.47; XYZ; 0000
2019-07-05 04:32:00; 14509.16; 2721.309; 50387.27; XYZ; 0000
2019-07-05 04:33:00; 14508.761; 2721.724; 50387.492; XYZ; 0000
2019-07-05 04:34:00; 14508.157; 2723.777; 50387.453; XYZ; 0000
2019-07-05 04:35:00; 14507.714; 2725.163; 50386.785; XYZ; 0000
2019-07-05 04:36:00; 14507.723; 2725.583; 50386.797; XYZ; 0000
2019-07-05 04:37:00; 14507.769; 2724.872; 50386.516; XYZ; 0000
2019-07-05 04:38:00; 14508.221; 2724.515; 50386.895; XYZ; 0000
2019-07-05 04:39:00; 14508.485; 2724.107; 50386.812; XYZ; 0000
2019-07-05 04:40:00; 14508.903; 2724.784; 50386.598; XYZ; 0000
2019-07-05 04:41:00; 14508.796; 2725.036; 50386.72; XYZ; 0000
2019-07-05 04:42:00; 14508.495; 2726.189; 50386.523; XYZ; 0000
2019-07-05 04:43:00; 14508.037; 2726.503; 50386.586; XYZ; 0000
2019-07-05 04:44:00; 14507.528; 2726.34; 50386.074; XYZ; 0000
2019-07-05 04:45:00; 14507.73; 2726.341; 50386.03; XYZ; 0000
2019-07-05 04:46:00; 14507.808; 2725.997; 50386.24; XYZ; 0000
2019-07-05 04:47:00; 14507.935; 2725.138; 50385.977; XYZ; 0000
2019-07-05 04:48:00; 14507.87; 2724.327; 50385.39; XYZ; 0000
2019-07-05 04:49:00; 14507.706; 2724.262; 50385.69; XYZ; 0000
2019-07-05 04:50:00; 14507.646; 2724.343; 50385.824; XYZ; 0000
2019-07-05 04:51:00; 14507.889; 2724.689; 50385.65; XYZ; 0000
2019-07-05 04:52:00; 14507.958; 2725.403; 50385.555; XYZ; 0000
2019-07-05 04:53:00; 14507.749; 2726.164; 50385.715; XYZ; 0000
2019-07-05 04:54:00; 14507.301; 2726.471; 50385.727; XYZ; 0000
2019-07-05 04:55:00; 14507.25; 2726.231; 50385.027; XYZ; 0000
2019-07-05 04:56:00; 14507.494; 2725.182; 50385.33; XYZ; 0000
2019-07-05 04:57:00; 14507.488; 2724.027; 50385.305; XYZ; 0000
2019-07-05 04:58:00; 14507.358; 2724.037; 50385.605; XYZ; 0000
2019-07-05 04:59:00; 14507.544; 2724.126; 50385.793; XYZ; 0000
2019-07-05 05:00:00; 14507.034; 2724.42; 50385.344; XYZ; 0000
2019-07-05 05:01:00; 14506.376; 2724.961; 50384.87; XYZ; 0000
2019-07-05 05:02:00; 14506.716; 2724.893; 50385.418; XYZ; 0000
2019-07-05 05:03:00; 14507.02; 2724.184; 50385.426; XYZ; 0000
2019-07-05 05:04:00; 14506.464; 2725.299; 50385.215; XYZ; 0000
2019-07-05 05:05:00; 14506.857; 2725.453; 50384.695; XYZ; 0000
2019-07-05 05:06:00; 14506.938; 2725.261; 50384.95; XYZ; 0000
2019-07-05 05:07:00; 14506.447; 2725.086; 50384.74; XYZ; 0000
2019-07-05 05:08:00; 14506.327; 2723.997; 50384.715; XYZ; 0000
2019-07-05 05:09:00; 14506.825; 2722.899; 50384.973; XYZ; 0000
2019-07-05 05:10:00; 14506.189; 2723.16; 50384.8; XYZ; 0000
2019-07-05 05:11:00; 14506.291; 2724.095; 50384.74; XYZ; 0000
2019-07-05 05:12:00; 14506.192; 2725.6; 50384.84; XYZ; 0000
2019-07-05 05:13:00; 14506.069; 2726.474; 50384.816; XYZ; 0000
2019-07-05 05:14:00; 14506.695; 2726.504; 50384.473; XYZ; 0000
2019-07-05 05:15:00; 14506.948; 2725.67; 50384.27; XYZ; 0000
2019-07-05 05:16:00; 14506.708; 2725.342; 50384.64; XYZ; 0000
2019-07-05 05:17:00; 14506.703; 2725.29; 50384.24; XYZ; 0000
2019-07-05 05:18:00; 14506.895; 2725.948; 50384.465; XYZ; 0000
2019-07-05 05:19:00; 14506.653; 2726.445; 50384.117; XYZ; 0000
2019-07-05 05:20:00; 14506.523; 2726.101; 50384.137; XYZ; 0000
2019-07-05 05:21:00; 14505.998; 2725.283; 50384.098; XYZ; 0000
2019-07-05 05:22:00; 14505.808; 2724.61; 50384.01; XYZ; 0000
2019-07-05 05:23:00; 14505.689; 2724.096; 50384.543; XYZ; 0000
2019-07-05 05:24:00; 14504.996; 2723.814; 50384.33; XYZ; 0000
2019-07-05 05:25:00; 14504.217; 2724.307; 50384.305; XYZ; 0000
2019-07-05 05:26:00; 14504.574; 2724.185; 50384.508; XYZ; 0000
2019-07-05 05:27:00; 14504.983; 2723.61; 50384.17; XYZ; 0000
2019-07-05 05:28:00; 14505.807; 2723.514; 50384.934; XYZ; 0000
2019-07-05 05:29:00; 14505.692; 2724.832; 50384.133; XYZ; 0000
2019-07-05 05:30:00; 14505.731; 2725.464; 50383.88; XYZ; 0000
2019-07-05 05:31:00; 14505.512; 2726.05; 50384.41; XYZ; 0000
2019-07-05 05:32:00; 14505.278; 2726.692; 50384.21; XYZ; 0000
2019-07-05 05:33:00; 14505.178; 2727.402; 50383.64; XYZ; 0000
2019-07-05 05:34:00; 14505.041; 2727.979; 50384.023; XYZ; 0000
2019-07-05 05:35:00; 14504.197; 2729.07; 50383.496; XYZ; 0000
2019-07-05 05:36:00; 14504.149; 2728.926; 50383.496; XYZ; 0000
2019-07-05 05:37:00; 14504.37; 2726.547; 50383.566; XYZ; 0000
2019-07-05 05:38:00; 14504.289; 2723.642; 50383.63; XYZ; 0000
2019-07-05 05:39:00; 14504.014; 2722.478; 50383.836; XYZ; 0000
2019-07-05 05:40:00; 14504.458; 2721.411; 50384.195; XYZ; 0000
2019-07-05 05:41:00; 14503.692; 2722.529; 50384.242; XYZ; 0000
2019-07-05 05:42:00; 14504.211; 2723.201; 50384.145; XYZ; 0000
2019-07-05 05:43:00; 14503.808; 2724.806; 50383.875; XYZ; 0000
2019-07-05 05:44:00; 14503.008; 2727.032; 50383.574; XYZ; 0000
